page,name,type,typeDetails,required,text,header,audio,branchOnValue,branchToPage
ImpCutRx,ImpCutRx,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How IMPORTANT is it to you to stop or cut down your use of PRESCRIPTION MEDICINES not prescribed to you?</p>","<p class=""head1"">These questions ask about your feeling related to your PRESCRIPTION MEDICINES use. Please answer on the scale numbered 1 to 10 (1 being the lowest and 10 ",,,
ConfCutRx,ConfCutRx,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</p><p class=""head1"">How CONFIDENT are you that you can stop or cut down your use of PRESCRIPTION MEDICINES not prescribed to you?</p>",,,,
ReadyCutRx,ReadyCutRx,10 <br />I am ready to quit now | 9 | 8 <br />I have cut down or am seriously thinking about quitting | 7 | 6 <br />I  am thinking about cutting down| 5 | 4 <br />I think I should change my use but I&#8217;m not ready | 3 | 2<br />I think I need to consider changing my use someday | 1 | 0 <br />I am not ready to change my use,ladder,warning,"<p class=""head1""><b>For this question, please select the number that best fits how you feel currently about your PRESCRIPTION DRUG use, with 10 being ""ready to quit now"" and 0 being ""not ready to change"".</b></p>",,,Complex,
ImpCutDrug,ImpCutDrug,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How IMPORTANT is it to you to stop or cut down your use of all OTHER DRUGS such as narcotics, stimulants, sedative hypnotics, hallucinogens, synthetic marijuana, or inhalants?</p>","<p class=""head1"">These questions ask about your feeling related to your OTHER DRUGS use. Please answer on the scale numbered 1 to 10 (1 being the lowest and 10 ",,,
ConfCutDrug,ConfCutDrug,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,responses10 horizontal,warning,"<p class=""head1""><b>At this time, on a scale of 1-10…</b></p><p class=""head1"">How CONFIDENT are you that you can stop or cut down your use of all OTHER DRUGS such as narcotics, stimulants, sedative hypnotics, hallucinogens, synthetic marijuana, or inhalants?</p>",,,,
ReadyCutDrug,ReadyCutDrug,10 <br />I am ready to quit now | 9 | 8 <br />I have cut down or am seriously thinking about quitting | 7 | 6 <br />I  am thinking about cutting down| 5 | 4 <br />I think I should change my use but I&#8217;m not ready | 3 | 2<br />I think I need to consider changing my use someday | 1 | 0 <br />I am not ready to change my use,ladder,warning,"<p class=""head1""><b>For this question, please select the number that best fits how you feel currently about your OTHER DRUG use, with 10 being ""ready to quit now"" and 0 being ""not ready to change"".</b></p>",,,Complex,
DAlcSchool1,DAlcSchool1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you miss school or work to go drinking or because you were hungover?</p>","<p class=""head1"">This questions ask about experiences and behaviors related to your ALCOHOL use that may have occurred in the PAST 12 MONTHS.</p>",,No,DAlcSchool3
DAlcSchool2,DAlcSchool2,Yes | No,,warning,"<p class=""head1"">Did you miss school or work MORE THAN ONCE because of drinking?</p>",,,Yes,DAlcArgue1
DAlcSchool3,DAlcSchool3,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you go to school or work right after you had been drinking, or drink while you were at school or work?</p>",,,Complex,
DAlcSchool4,DAlcSchool4,Yes | No,,warning,"<p class=""head1"">You said in the last year you went to school or work right after you had been drinking, or drank while you were at school or work.<br/><br/>Did you do this MORE THAN ONCE?</p>",<p class-,,Yes,DAlcArgue1
DAlcTrouble1,DAlcTrouble1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS… </b></p><p class=""head1"">Did you get into trouble at school or work or did you have problems with your school/doing your job because of drinking?",,,Complex,
DAlcTrouble2,DAlcTrouble2,Yes | No,,warning,"<p class=""head1"">You said that in the last year you got into trouble at school or work or had problems with your school/doing your job because of drinking. <br/><br/>Did this happen MORE THAN ONCE?</p>",,,Yes,DAlcArgue1
DAlcImportant1,DAlcImportant1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you drink before you did something important or while you were doing something important, like babysitting or working?</p>",,,No,DAlcArgue1
DAlcImportant2,DAlcImportant2,Yes | No,,warning,"<p class=""head1""You said that in the last year you drank before you did something important or while you were doing something important…like babysitting or working.<br/><br/>Did you do this MORE THAN ONCE?</p>",,,,
DAlcArgue1,DAlcArgue1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS… </b></p><p class=""head1"">Did you get into arguments with your family or friends because of drinking?</p>",,,No,DAlcFriend1
DAlcArgue2,DAlcArgue2,Yes | No,,warning,"<p class=""head1"">Even though you had problems with your family or friends, did you drink anyway?</p>",,,Yes,DAlcHurt1
DAlcFriend1,DAlcFriend1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did any of your friends not want to be with you because you were drinking?</p>",,,No,DAlcFight1
DAlcFriend2,DAlcFriend2,Yes | No,,warning,"<p class=""head1"">Even though your friends didn't want to be with you, did you drink anyway?</p>",,,Yes,DAlcHurt1
DAlcFight1,DAlcFight1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you get into any physical fights while drinking?</p>",,,No,DAlcHurt1
DAlcFight2,DAlcFight2,Yes | No,,warning,"<p class=""head1"">You said that in the last year you got into a physical fight while drinking. <br/><br/>Did this happen MORE THAN ONCE?</p>",,,No,DAlcHurt1
DAlcFight3,DAlcFight3,Yes | No,,warning,"<p class=""head1"">Even though you got into physical fights, did you drink alcohol anyway?</p>",,,,
DAlcHurt1,DAlcHurt1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you ever drink in situations where you could get hurt, like right before you were riding a bike, swimming, or driving a car or motorcycle?</p>",,,No,DAlcPolice1
DAlcHurt2,DAlcHurt2,Yes | No,,warning,"<p class=""head1"">You said that in the last year you drank in situations where you could get hurt, like right before you were riding a bike, swimming, or driving a car or motorcycle.<br/><br/>Did you do this MORE THAN ONCE?</p>",,,,
DAlcPolice1,DAlcPolice1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you get in trouble with the police when you were drunk or because you had been drinking?</p>",,,No,DAlcOften
DAlcPolice2,DAlcPolice2,Yes | No,,warning,"<p class=""head1"">You said that in the last year you got in trouble with the police when you were drunk or because you had been drinking.<br/><br/>Did this happen MORE THAN ONCE?</p>",,,,
DAlcOften,DAlcOften,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you OFTEN drink more than you thought you would?</p>",,,Yes,DAlcYrQuitTry1
DAlcTime,DAlcTime,Yes | No,,warning,"<p class=""head1"">Did you OFTEN wind up drinking for a longer time than you thought you would?</p>",,,,
DAlcYrQuitTry1,DAlcYrQuitTry1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you ever try to quit or cut down your drinking?</p>",,,No,DAlcYrQuit
DAlcYrQuitTry2,DAlcYrQuitTry2,Yes | No,,warning,"<p class=""head1"">When you decided to quit or cut down in the last year, were you always able to do so for at LEAST 1 MONTH?</p>",,,*,DAlcYrToler1
DAlcYrQuit,DAlcYrQuit,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you OFTEN felt you should quit or cut down?</p>",,,,
DAlcYrToler1,DAlcYrToler1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Could you drink a lot more ALCOHOL than you used to before you got drunk?</p>",,,Yes,DAlcYrHangov
DAlcYrToler2,DAlcYrToler2,Yes | No,,warning,"<p class=""head1"">Did it seem like the same amount had less effect on you?</p>",,,,
DAlcYrHangov,DAlcYrHangov,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Were there many days when you felt sick or hungover after drinking?</p>",,,Yes,DAlcYrUrge
DAlcYrTime,DAlcYrTime,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you spend a lot of your time drinking?</p>",,,Yes,DAlcYrUrge
DAlcYrPlan,DAlcYrPlan,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you spend a lot of time planning how you would get alcohol?</p>",,,,
DAlcYrUrge,DAlcYrUrge,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you feel such a strong desire or urge to drink that you could not keep from drinking?</p>",,,Yes,DAlcYrActivity
DAlcThink,DAlcThink,Yes | No,,warning,"<p class=""head1"">Did you ever want a drink so badly that you could not think about anything else?</p>",,,,
DAlcYrActivity,DAlcYrActivity,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Were there often things you cut down on or did not do because of drinking, for example, things that you used to like to do?</p>",,,,
DAlcYrHealth1,DAlcYrHealth1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did drinking cause you to have any physical health problems or did drinking make a health problem worse?</p>",,,No,DAlcYrSad1
DAlcYrHealth2,DAlcYrHealth2,Yes | No,,warning,"<p class=""head1"">Did you continue drinking even though it was causing you a physical problem?</p>",,,,
DAlcYrSad1,DAlcYrSad1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did drinking cause you to get sad or depressed or very irritable?</p>",,,No,DAlcYrSick
DAlcYrSad2,DAlcYrSad2,Yes | No,,warning,"<p class=""head1"">Did you continue to drink even though it made you feel sad or depressed or very irritable?</p>",,,,
DAlcYrSick,DAlcYrSick,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or when you cut down …</b></p><p class=""head1"">Did you feel bad or sick?</p>",,,No,DAlcYrSickUse
DAlcYrWorry,DAlcYrWorry,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you ever become nervous or worried?</p>","<p class=""head1 blue"">This section is going to ask you about things that may have happened in the PAST 12 MONTHS when you didn't drink or cut down on drinking.</p>",,,
DAlcYrRestless,DAlcYrRestless,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you feel restless, like you couldn't sit still?</p>",,,,
DAlcYrHeart,DAlcYrHeart,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you feel your heart beating fast?</p>",,,,
DAlcYrVomit,DAlcYrVomit,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you feel sick to your stomach or have to vomit or throw up?</p>",,,,
DAlcYrSleep,DAlcYrSleep,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you have trouble sleeping?</p>",,,,
DAlcYrHead,DAlcYrHead,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you get headaches?</p>",,,,
DAlcYrSweat,DAlcYrSweat,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you sweat a lot?</p>",,,,
DAlcYrSeizure,DAlcYrSeizure,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you EVER have any fits or seizures?</p>",,,,
DAlcYrShake,DAlcYrShake,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did your hands shake?</p>",,,,
DAlcYrHear,DAlcYrHear,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when you didn't drink or cut down on drinking…</b></p><p class=""head1"">Did you see, feel, or hear things that other people couldn't?</p>",,,,
DAlcYrSickUse,DAlcYrSickUse,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you EVER drink alcohol or take a medicine like tranquilizers or sedatives so that you wouldn’t feel bad or sick from cutting down?</p>",,,,
DAlcYrCaretaker1,DAlcYrCaretaker1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when drinking alcohol caused the most problems…</b></p><p class=""head1"">Did your parent(s) or caretaker(s) seem annoyed or upset with you because you were drinking alcohol?</p>","<p class=""head1 blue"">For this section, I would like you to think back to a time in the last year when drinking alcohol caused the most problems.</p>",,No,DAlcYrFamily1
DAlcYrCaretaker2,DAlcYrCaretaker2,A lot of the time | Some of the time | Hardly ever | Don't know,responses4 horizontal,warning,"<p class=""head1"">How often did your parent(s) or caretaker(s) seem annoyed or upset with you because of you were drinking alcohol?</p>",,,,
DAlcYrFamily1,DAlcYrFamily1,Yes | No,,warning," <p class=""head1""><b>In the PAST 12 MONTHS, when drinking alcohol caused the most problems…</b></p><p class=""head1"">Did drinking alcohol keep you from doing things or going places with your family?</p>",,,No,DAlcYrFriends1
DAlcYrFamily2,DAlcYrFamily2,A lot of the time | Some of the time | Hardly ever | Don't know,responses4 horizontal,warning,"<p class=""head1"">How often did drinking alcohol keep you from doing things or going places with your family?</p>",,,,
DAlcYrFriends1,DAlcYrFriends1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when drinking alcohol caused the most problems…</b></p><p class=""head1"">Did it keep you from doing things or going places with other people your age?</p>",,,No,DAlcYrSchool1
DAlcYrFriends2,DAlcYrFriends2,A lot of the time | Some of the time | Hardly ever | Don't know,responses4 horizontal,warning,"<p class=""head1"">How often did drinking alcohol keep you from doing things or going places with other people your age? </p>",,,,
DAlcYrSchool1,DAlcYrSchool1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when drinking alcohol caused the most problems…</b></p><p class=""head1"">Did drinking alcohol make it difficult for you to do your schoolwork or cause problems with your grades/ make it difficult for you to do your work?</p>",,,No,DAlcYrTeach1
DAlcYrSchool2,DAlcYrSchool2,Very bad | Bad | Not too bad | Don't know,responses4 horizontal,warning,"<p class=""head1"">How bad were the problems you had with your schoolwork or work because of this? </p>",,,,
DAlcYrTeach1,DAlcYrTeach1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when drinking alcohol caused the most problems…</b></p><p class=""head1"">Did drinking alcohol cause your teacher(s) or boss to be annoyed or upset with you?</p>",,,No,DAlcYrUpset1
DAlcYrTeach2,DAlcYrTeach2,A lot of the time | Some of the time | Hardly ever | Don't know,responses4 horizontal,warning,"<p class=""head1"">How often were your teachers or boss annoyed or upset with you? </p>",,,,
DAlcYrUpset1,DAlcYrUpset1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS, when drinking alcohol caused the most problems…</b></p><p class=""head1"">Did drinking alcohol make you feel bad or make you feel upset?</p>",,,No,DAlcYrMeeting
DAlcYrUpset2,DAlcYrUpset2,Very bad | Bad | Not too bad | Don't know,responses4 horizontal,warning,"<p class=""head1"">How bad did drinking alcohol make you feel?</p>",,,,
DAlHospital,DAlHospital,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you been to see someone at a hospital or clinic or at their office because of problems you had from drinking alcohol?</p>",,,No,DAlApp
DAlApp,DAlApp,Yes | No,,warning,"<p class=""head1"">Do you have an appointment set up to see someone for help with any of these problems?</p>",,,,
DAlcYrMeeting,DAlcYrMeeting,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Did you attend a self-help meeting like ""AA"" or AlaTeen because of drinking?</p>",,,,
AuOften,AuOften,Never | Monthly or less | 2-4 times a month | 2-3 times a week | 4 or more times a week,responses5 horizontal,warning,"<p class=""head1"">During the PAST 12 MONTHS…</b></p><p class=""head1"">How <u>often </u>do you have a drink containing alcohol?</p>","<p class=""head1"">These questions  ask about experiences and behaviors related to your ALCOHOL use in THE PAST 12 MONTHS. Please answer <u>all </u>questions, even if they seem similar to ones you have answered before.</p><p class=""head1""><u>Alcohol</u>includes: beer, malt liquor, wine, wine cooler, or liquor straight or in a mixed drink. <u>1 Standard Drink = 12 oz bottle  or can of beer, a 12 oz  bottle or can of wine cooler, a 5 oz glass of wine, or a single shot of liquor straight or in a mixed drink. </p>",,,
AuNumDrinks,AuNumDrinks,1 or 2 | 3 or 4 | 5 or 6 | 7 to 9| 10 or more,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…</b></p><p class=""head1"">How many standard drinks containing alcohol do you have on a <u>typical</u>day when drinking?</p>",,,,
AuSixOcc,AuSixOcc,Never | Monthly or less | 2-4 times a month | 2-3 times a week | 4 or more times a week,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…</b></p><p class=""head1"">How often did you have <u>six or more drinks </u>on one occasion?</p>",,,,
AuUnableStop,AuUnableStop,Never | Monthly or less | 2-4 times a month | 2-3 times a week | 4 or more times a week,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS, how often have you... </b></p><p class=""head1"">Found that you were not able to stop drinking once you had started?</p>",,,,
AuFailExpec,AuFailExpec,Never | Monthly or less | 2-4 times a month | 2-3 times a week | 4 or more times a week,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS, how often have you... </b></p><p class=""head1"">Failed to do what was normally expected of you because of drinking?</p>",,,,
AuNeed,AuNeed,Never | Monthly or less | 2-4 times a month | 2-3 times a week | 4 or more times a week,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS, how often have you...  </b></p><p class=""head1"">Needed a drink in the morning to get yourself going after a heavy drinking session?</p>",,,,
AuGuilt,AuGuilt,Never | Monthly or less | 2-4 times a month | 2-3 times a week | 4 or more times a week,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…, how often have you...  </b></p><p class=""head1"">Had a feeling of guilt or remorse after drinking?</p>",,,,
AuRememb,AuRememb,Never | Monthly or less | 2-4 times a month | 2-3 times a week | 4 or more times a week,responses5 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS… </b></p><p class=""head1"">Have you been unable to remember what happened the night before because you had been drinking?</p>",,,,
AuInjury,AuInjury,"Yes, during the PAST 12 MONTHS | Yes, but not in the  PAST 12 MONTHS | No",responses3 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…  </b></p><p class=""head1"">Have you or someone else been injured as a result of your drinking?</p>",,,,
AuConcern,AuConcern,"Yes, during the PAST 12 MONTHS | Yes, but not in the  PAST 12 MONTHS | No",responses3 horizontal,warning,"<p class=""head1""><b>During the PAST 12 MONTHS… </b></p><p class=""head1"">Has a relative or friend, doctor or other health worker been concerned about your drinking or suggested you cut down?</p>",,,Complex,
HonTriedQuit,HonTriedQuit,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS… </b></p><p class=""head1"">Have you EVER  tried to quit, but couldn't?</p>","<p class=""head1"">These questions asks about behaviors related to use of TOBACCO </p>. <p class=""head2"">Tobacco includes: cigars, cigarillos, bidis, clove cigarettes, kreteks, blunts, pipe tobacco, and hookah.</p>",,,
HonHardQuit,HonHardQuit,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…</b></p><p class=""head1"">Do you smoke or use tobacco now because it is really hard to quit?</p>",,,,
HonAddicted,HonAddicted,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…</b></p><p class=""head1"">Have you ever felt like you were addicted to tobacco?</p>",,,,
HonCrave,HonCrave,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…</b></p><p class=""head1"">Do you ever have strong cravings to smoke or use tobacco?</p>",,,,
HonNeed,HonNeed,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…</b></p><p class=""head1"">Have you ever felt like you really needed to smoke or use tobacco?</p>",,,,
HonPlace,HonPlace,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS…</b></p><p class=""head1"">Is it hard to keep from smoking or using tobacco in places where you are not supposed to?</p>",,,,
HonConcentrate,HonConcentrate,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS, when  you haven't smoked or used TOBACCO for a while…OR when you tried to stop smoking or using tobacco…</b></p><p class=""head1"">Did you find it hard to concentrate because you couldn't smoke or use tobacco?</p>",,,,
HonIrritable,HonIrritable,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS, when  you haven't smoked or used TOBACCO for a while…OR when you tried to stop smoking or using tobacco…</b></p><p class=""head1"">Did you feel more irritable because you couldn't smoke or use tobacco?</p>",,,,
HonUrge,HonUrge,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS, when  you haven't smoked or used TOBACCO for a while…OR when you tried to stop smoking or using tobacco…</b></p><p class=""head1"">Did you feel a strong need or urge to smoke or use tobacco?</p>",,,,
HonRestless,HonRestless,Yes | No,,warning,"<p class=""head1""><b>During the PAST 12 MONTHS, when  you haven't smoked or used TOBACCO for a while…OR when you tried to stop smoking or using tobacco…</b></p><p class=""head1"">Did you feel nervous, restless or anxious because you couldn't smoke or use tobacco?</p>",,,Complex,
DaMedReason,DaMedReason,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class =""head1"">Have you used drugs <u>other than</u>those needed for medical reasons?</p>","<p class=""head1"">These questions ask about  MARIJUANA or OTHER DRUG use in THE PAST 12 MONTHS. Please answer <u>all</u>questions, even if they seem similar to ones you have answered before. </p>Other drugs can include:
                       -      Drugs such as heroin, speed, methamphetamine, GHB, mushrooms, Ecstasy, LSD,
                              cocaine, opium, ketamine (Special K), salvia, or Spice/K2
                       -      Inhalants such as sniffing or huffing keyboard cleaners, body spray, glue, permanent
                              markers, propane, gasoline, whippets, nitrous oxide, or paint thinner
                       -      �Over-the-counter� medicine such as cough syrup, dextromethorphan (DXM), and cold
                              medicine, Sudafed, or caffeine pills
�Other drugs� do not include body-building steroids or medicine prescribed by your doctor that you take according to the instructions
</p>",,,
DaMultiple,DaMultiple,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you used <u>more than one drug</u>at a time?</p>",,,,
DaStop,DaStop,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Are you always able to stop using drugs when you want to?</p>",,,,
DaBlackout,DaBlackout,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you had 'blackouts' or 'flashbacks' as a result of drug use?</p>",,,,
DaGuilty,DaGuilty,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you ever  felt bad or guilty about your drug use?</p>",,,,
DaFamily1,DaFamily1,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have family or family members ever complained about your involvement with drugs?</p>",,,,
DaFamily2,DaFamily2,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you ever  stayed away from your family because of your drug use?</p>",,,,
DaIllegal,DaIllegal,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you engaged in illegal activities in order to get drugs?</p>",,,,
DaWithdraw,DaWithdraw,Yes | No,,warning,"<p class=""head1""><b>In the PAST 12 MONTHS…</b></p><p class=""head1"">Have you ever experienced withdrawal symptoms (felt sick) when you stopped taking drugs?</p>",,,,
