page,name,type,typeDetails,required,text,header,audio,branchOnValue,branchToPage
visitLEXDoctor,visitLEXDoctor,Dr Arthur | Jane Berman | Dr Garnett |  Dr Gine-Nokes | Meg Guimond | Ramey Harris-Tatar |  Dr Lock | Dr Mailloux | Kathy Manchester |  Dr Terry | Dr Wornham | Sarah Zombek | Other,vertical,required,Who are you seeing today at Lexington Pediatrics?,,,*,setVisitDoctor
visitCHADoctor,visitCHADoctor,Dr Brooks | Dr Another | Other,vertical,required,Who are you seeing today at Cambridge Health Alliance?,,,*,setVisitDoctor
visitTMCDoctor,visitTMCDoctor,Dr Grubb | Dr Lee | Dr Siesennop | Other,vertical,required,Who are you seeing today at Tufts Medical Center?,,,*,setVisitDoctor
visitEBNDoctor,visitEBNDoctor,Dr Silva | Other,vertical,required,Who are you seeing today at East Boston Neighborhood Health Center?,,,*,setVisitDoctor
visitTSTDoctor,visitTSTDoctor,Dr Yes | Dr No | Other,vertical,required,Who are you seeing today?,,,*,setVisitDoctor
setVisitDoctor,setVisitDoctor,function,,optional,setVisitDoctor,,,,
schoolGrade,schoolGrade,2nd grade | 3rd grade | 4th grade | 5th grade | 6th grade | 7th grade | 8th grade | 9th grade | 10th grade | 11th grade | 12th grade | College freshman | College sophomore | College junior | College senior | Not attending school,vertical,warning,What school grade are you in/what is the highest grade you have completed?,,,,
hispanic,hispanic,Yes | No,,warning,Are you of Hispanic or Latino origin?,,,,
race,race,American Indian or Alaska Native ; Asian ; Black or African American ; Native Hawaiian or other Pacific Islander ; White ; Other,vertical,warning,What is your race? (Check all that apply),,,,
parentHome,parentHome,One | Two or more | None or Foster care ,responses3 horizontal,warning,How many parents are living with you at home?,,,,
parentEduca,parentEducation,"8th grade or less | >8th grade, but not a high school graduate | High school graduate, or GED | Business, trade, or vocational school after high school | Some college but did not graduate | Graduated college or university | Professional degree beyond 4-year college | I don't know ",vertical,warning,"Of the parent(s) living with you at home, what is the highest level of education that s/he completed? (Please choose highest of either parent at home)",,,,
PermitLicense,PermitLicense,"No, neither | Yes, a learner's permit only | Yes, a driver's license",responses3 horizontal,warning,Do you currently have a learner's permit or driver's license?,,,,
NumberCars,NumberCars,None | One | Two | Three or more,responses4 horizontal,warning,How many cars does your family own?,,,,
setContactStatus,setContactStatus,function,,optional,setStatusAfterContact,,,,
